t_ms,s
5�50,960

77336,958

77386,958

77436,959

77486,958

77536,959

77586,958

77636,958

77686,959

77736,959

77786,958

77836,958

77886,958

77936,958

77986,959

78036,958

78086,958

78136,959

78186,958

78236,959

78286,959

78336,958

78386,958

78436,958

78486,959

78536,959

78586,958

78636,959

78686,959

78736,958

78786,959

78836,958

78886,958

78936,958

78986,958

79036,958

79086,959

79136,958

79186,958

79236,958

79286,958

79336,959

79386,958

79436,958

79486,958

79536,958

79586,958

79636,959

79686,958

79736,959

79787,958

79837,958

79887,958

79937,958

79987,958

80037,958

80087,958

80137,958

80187,959

80237,959

80287,958

80337,959

80387,958

80437,959

80487,959

80537,959

80587,959

80637,959

80687,959

80737,959

80787,959

80837,959

80887,959

80937,959

80987,959

81037,959

81087,958

81137,959

81187,958

81238,958

81288,959

81338,958

81388,958

81438,958

81488,958

81538,959

81588,957

81638,957

81688,957

81738,957

81788,957

81838,958

81888,957

81938,957

81988,957

82038,957

82088,957

82138,957

82188,957

82238,957

82288,957

82338,957

82388,958

82438,957

82488,957

82538,958

82588,957

82638,957

82688,957

82738,957

82788,957

82838,957

82888,957

82938,958

82988,957

83038,957

83088,958

83138,958

83188,957

83238,957

83288,958

83338,957

83388,957

83438,957

83488,957

83538,957

83588,957

83638,957

83688,957

83738,957

83788,957

83838,957

83888,957

83938,957

83988,957

84038,957

84088,957

84139,957

84189,957

84239,957

84289,957

84339,957

84389,957

84439,957

84489,957

84539,957

84589,958

84639,957

84689,957

84739,958

84789,957

84839,957

84889,957

84939,957

84989,957

85039,957

85089,957

85139,958

85189,957

85239,957

85289,957

85339,957

85389,958

85439,958

85489,958

85539,958

85590,958

85640,958

85690,958

85740,957

85790,957

85840,958

85890,957

85940,957

85990,958

86040,957

86090,957

86140,957

86190,957

86240,958

86290,958

86340,957

86390,958

86440,958

86490,957

86540,958

86590,957

86640,957

86690,957

86740,957

86790,958

86840,957

86890,957

86940,958

86990,957

87040,957

87090,958

87140,957

87190,957

87240,957

87290,957

87340,958

87390,957

87440,957

87490,958

87540,957

87590,957

87640,958

87690,957

87740,957

87790,958

87840,958

87890,958

87940,958

87990,957

88040,958

88090,958

88140,958

88190,958

88240,958

88290,957

88340,958

88390,958

88440,957

88491,958

88541,958

88591,958

88641,958

88691,958

88741,958

88791,958

88841,958

88891,958

88941,957

88991,957

89041,957

89091,957

89141,957

89191,957

89241,957

89291,957

89341,957

89391,957

89441,957

89491,957

89541,956

89591,957

89641,956

89691,957

89741,957

89791,957

89841,957

89891,957

89942,957

89992,956

90042,957

90092,957

90142,957

90192,957

90242,957

90292,957

90342,957

90392,958

90442,957

90492,957

90542,957

90592,957

90642,958

90692,957

90742,957

90792,957

90842,957

90892,957

90942,958

90992,958

91042,957

91092,958

91142,958

91192,958

91242,958

91292,957

91342,958

91392,958

91442,958

91492,958

91542,958

91592,958

91642,958

91692,957

91742,958

91792,958

91842,958

91892,958

91942,958

91992,957

92042,958

92092,958

92142,957

92192,958

92242,957

92292,958

92342,957

92392,957

92442,958

92492,958

92542,958

92592,958

92642,958

92692,958

92742,957

92792,958

92843,958

92893,957

92943,957

92993,958

93043,957

93093,958

93143,958

93193,957

93243,957

93293,958

93343,958

93393,959

93443,957

93493,957

93543,958

93593,957

93643,958

93693,958

93743,957

93793,957

93843,958

93893,957

93943,958

93993,958

94043,957

94093,958

94143,958

94193,957

94243,957

94294,958

94344,958

94394,958

94444,957

94494,958

94544,958

94594,958

94644,958

94694,958

94744,958

94794,957

94844,958

94894,958

94944,958

94994,958

95044,958

95094,958

95144,958

95194,958

95244,958

95294,958

95344,958

95394,958

95444,958

95494,958

95544,958

95594,959

95644,958

95694,958

95744,958

95794,958

95844,958

95894,958

95944,958

95994,958

96044,958

96094,958

96144,959

96194,958

96244,958

96294,958

96344,958

96394,958

96444,958

96494,958

96544,958

96594,958

96644,958

96694,959

96744,958

96794,958

96844,958

96894,959

96944,959

96994,959

97044,958

97094,959

97144,959

97195,958

97245,959

97295,958

97345,958

97395,958

97445,958

97495,958

97545,958

97595,958

97645,959

97695,958

97745,958

